iter	Passed	Remaining
923	18131	1491
924	18150	1471
925	18170	1452
926	18190	1432
927	18210	1412
928	18232	1393
929	18251	1373
930	18269	1354
931	18289	1334
932	18308	1314
933	18327	1295
934	18345	1275
935	18365	1255
936	18383	1236
937	18402	1216
938	18421	1196
939	18440	1177
940	18460	1157
941	18482	1137
942	18507	1118
943	18527	1099
944	18546	1079
945	18565	1059
946	18586	1040
947	18606	1020
948	18624	1000
949	18644	981
950	18665	961
951	18685	942
952	18704	922
953	18722	902
954	18741	883
955	18762	863
956	18781	843
957	18801	824
958	18820	804
959	18837	784
960	18856	765
961	18874	745
962	18896	726
963	18919	706
964	18938	686
965	18958	667
966	18979	647
967	19001	628
968	19027	608
969	19046	589
970	19063	569
971	19083	549
972	19102	530
973	19121	510
974	19141	490
975	19161	471
976	19181	451
977	19200	431
978	19220	412
979	19241	392
980	19261	373
981	19279	353
982	19296	333
983	19315	314
984	19330	294
985	19349	274
986	19368	255
987	19386	235
988	19406	215
989	19425	196
990	19444	176
991	19464	156
992	19484	137
993	19503	117
994	19526	98
995	19544	78
996	19562	58
997	19580	39
998	19598	19
999	19618	0
